state_id,episode,seed,step,teacher_macro,candidate_macro,delta_reward,delta_cost_ratio,delta_success,beneficial,regret
ep0_step0_seed0,0,,0,research_context,decompose_shallow,63.982498331887896,0.040909090909090895,1.0,1,0
ep0_step0_seed0,0,,0,research_context,direct_solve,-1.6682532966338393,0.0,0.0,0,1
ep0_step0_seed0,0,,0,research_context,verify,15.228027768276494,0.05681818181818177,0.0,1,0
ep0_step1_seed0,0,,1,research_context,direct_solve,39.2498165184887,-0.030303030303030276,1.0,1,0
ep0_step1_seed0,0,,1,research_context,decompose_shallow,-1.5779979179175943,0.0015151515151515804,0.0,0,1
ep0_step1_seed0,0,,1,research_context,verify,-27.070202895839966,-0.006818181818181723,0.0,0,1
ep0_step2_seed0,0,,2,direct_solve,research_context,-56.59376102272627,0.0,0.0,0,1
ep0_step2_seed0,0,,2,direct_solve,decompose_shallow,-2.428923519506638,0.021212121212121127,0.0,0,1
ep0_step3_seed0,0,,3,direct_solve,research_context,-35.14390008846366,0.021212121212121238,0.0,0,1
ep0_step3_seed0,0,,3,direct_solve,decompose_shallow,69.99862456185676,0.033333333333333326,1.0,1,0
ep0_step4_seed0,0,,4,direct_solve,research_context,-14.273285238371251,0.042424242424242364,0.0,0,1
ep0_step4_seed0,0,,4,direct_solve,decompose_shallow,12.94492186347275,0.042424242424242364,0.0,1,0
ep0_step4_seed0,0,,4,direct_solve,repair,69.41690782440135,0.045454545454545414,1.0,1,0
ep0_step5_seed0,0,,5,direct_solve,decompose_shallow,12.110311191300294,0.021212121212121127,0.0,1,0
ep0_step5_seed0,0,,5,direct_solve,repair,-0.6383592430595755,-0.00909090909090915,0.0,0,1
ep0_step5_seed0,0,,5,direct_solve,submit,77.47728096824899,0.15833333333333327,1.0,1,0
ep0_step6_seed0,0,,6,direct_solve,submit,77.81145904881353,0.4083333333333333,1.0,1,0
ep0_step6_seed0,0,,6,direct_solve,decompose_shallow,56.843065049983984,0.012121212121212088,1.0,1,0
ep0_step6_seed0,0,,6,direct_solve,repair,0.16309948418291498,0.012121212121212088,0.0,1,0
ep0_step7_seed0,0,,7,direct_solve,submit,69.35249167345859,0.3643939393939393,1.0,1,0
ep0_step7_seed0,0,,7,direct_solve,research_context,-12.480932814485882,-0.021212121212121238,0.0,0,1
ep0_step7_seed0,0,,7,direct_solve,decompose_shallow,69.11435092907973,0.012121212121212088,1.0,1,0
ep0_step8_seed0,0,,8,direct_solve,research_context,-5.198985229153422,0.021212121212121238,0.0,0,1
ep0_step8_seed0,0,,8,direct_solve,submit,92.01367241093004,0.3734848484848485,1.0,1,0
ep0_step8_seed0,0,,8,direct_solve,repair,69.41501541243666,0.045454545454545414,1.0,1,0
ep0_step9_seed0,0,,9,research_context,decompose_shallow,-11.638586327431149,0.0,0.0,0,1
ep0_step9_seed0,0,,9,research_context,repair,-12.68611100261792,-0.00909090909090915,0.0,0,1
ep0_step9_seed0,0,,9,research_context,submit,20.8086860142449,0.2962121212121212,0.0,1,0
ep0_step10_seed0,0,,10,direct_solve,submit,0.8696075685348177,0.036363636363636376,0.0,1,0
ep0_step10_seed0,0,,10,direct_solve,repair,6.161497610855889,0.012121212121212088,0.0,1,0
ep0_step10_seed0,0,,10,direct_solve,decompose_shallow,76.24834402205813,0.054545454545454564,1.0,1,0
ep0_step11_seed0,0,,11,direct_solve,submit,101.42223650104617,0.2909090909090909,1.0,1,0
ep0_step11_seed0,0,,11,direct_solve,decompose_shallow,15.444497284263186,0.021212121212121238,0.0,1,0
ep0_step11_seed0,0,,11,direct_solve,repair,10.134216644273735,0.012121212121212088,0.0,1,0
ep0_step12_seed0,0,,12,direct_solve,submit,26.953482779157895,0.036363636363636265,0.0,1,0
ep0_step12_seed0,0,,12,direct_solve,decompose_shallow,70.42866905818228,0.012121212121212088,1.0,1,0
ep0_step12_seed0,0,,12,direct_solve,repair,33.2689771262836,0.012121212121212088,0.0,1,0
ep0_step13_seed0,0,,13,direct_solve,repair,16.659914598771845,0.012121212121212088,0.0,1,0
ep0_step13_seed0,0,,13,direct_solve,submit,30.29554028831,0.19090909090909092,0.0,1,0
ep0_step13_seed0,0,,13,direct_solve,decompose_shallow,8.027775084489623,0.0,0.0,1,0
ep0_step14_seed0,0,,14,direct_solve,decompose_shallow,-49.80735906135145,-0.012121212121212088,-1.0,0,1
ep0_step14_seed0,0,,14,direct_solve,repair,8.65949891785359,0.012121212121212088,0.0,1,0
ep0_step14_seed0,0,,14,direct_solve,submit,17.618043638419703,0.15757575757575754,0.0,1,0
ep0_step15_seed0,0,,15,decompose_shallow,submit,69.87747340284136,0.1363636363636363,1.0,1,0
ep0_step15_seed0,0,,15,decompose_shallow,repair,47.961239398042295,0.003030303030302939,1.0,1,0
ep0_step16_seed0,0,,16,direct_solve,submit,4.119596488929773,0.043939393939393945,0.0,1,0
ep0_step16_seed0,0,,16,direct_solve,decompose_shallow,70.18272487613903,0.054545454545454564,1.0,1,0
ep0_step16_seed0,0,,16,direct_solve,repair,3.170214666707267,0.012121212121212088,0.0,1,0
ep0_step17_seed0,0,,17,direct_solve,decompose_shallow,15.41014656906301,0.021212121212121238,0.0,1,0
ep0_step18_seed0,0,,18,direct_solve,submit,-5.609534660195727,0.04166666666666663,0.0,0,1
ep0_step18_seed0,0,,18,direct_solve,decompose_shallow,26.337182195830003,0.021212121212121238,0.0,1,0
ep0_step18_seed0,0,,18,direct_solve,repair,4.65825176669707,0.012121212121212088,0.0,1,0
ep0_step19_seed0,0,,19,decompose_shallow,submit,-30.49649482543977,0.003030303030302939,0.0,0,1
