challengeId,name,trackType,status,baselineId,scenarioType,granularity,nodePrecision,nodeRecall,nodeF1,edgePrecision,edgeRecall,edgeF1,toolPrecision,toolRecall,toolF1,nodeLabelSimilarity,structuralSimilarityIndex,pathLengthSimilarity,complexityScore,notes
0c9d344e-6452-4d0c-a474-34d203f04f6c,Topcoder Community App - Support LaTex formulas in Markdown rendering,Development,Completed,dev_sequential_coarse,sequential,coarse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,
a47ab6c2-23fa-47d3-862d-f4c725245bea,Easy | Topcoder Skill Builder Competition | ReactJS | Getting Started,Development,Completed,dev_parallel_fine,hybrid,fine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,High registrant count: inserted coordination checkpoint.
a4826c63-5e86-45f7-899b-6ed2a3aa60f4,Topcoder Skill Builder Competition | ReactJS,Development,Completed,dev_parallel_fine,hybrid,fine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,High registrant count: inserted coordination checkpoint.
305e0763-dd63-4883-9133-55504503953d,Hard | Topcoder Skill Builder Competition | ReactJS  | Annotations,Development,Completed,dev_sequential_coarse,sequential,fine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,High registrant count: inserted coordination checkpoint.
c686d72a-f0da-4e30-9eca-b75f317e5931,Medium | Topcoder Skill Builder Competition | ReactJS | Co-learning,Development,Completed,dev_parallel_fine,hybrid,fine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,High registrant count: inserted coordination checkpoint.
b0e66fb3-6bce-48c8-929f-9d8bebc76885,Topcoder Community App - Remove perpetual scrolling on Activity Feed page while logged out,Development,Completed,dev_parallel_fine,hybrid,coarse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,Hybrid scenario retains coarse granularity but adds selective branching.
70ea3d72-66a5-432d-a410-7202da79b00e,Topcoder Community App - Universal nav header / footer missing on challenge details pages,Development,Completed,dev_parallel_fine,hybrid,coarse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,Hybrid scenario retains coarse granularity but adds selective branching.
3cded57a-b863-4804-8d4d-21747cc9d996,Topcoder Community App - Uni nav doesn't load on Community App the first time,Development,Completed,dev_parallel_fine,hybrid,coarse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,Hybrid scenario retains coarse granularity but adds selective branching.
e8231040-e63f-40c4-980c-eb815062aeec,Topcoder Online Review - Logged out user is not shown as logged out in the uni nav on the List Project page,Development,Completed,dev_sequential_coarse,sequential,coarse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,Rapid-turn sequential workflow: plan focuses on correctness over exploration.
aeaaeac2-907e-4f11-bb09-30143522da50,Topcoder Online Review - Header menu behind other screen elements,Development,Completed,dev_sequential_coarse,sequential,fine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,
