task_id,title,dataset_id,dataset_path,status,tests_source,category
02d2fc13-2597-4b37-9a3a-2fee4e09f2f0,test,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,skipped_non_coding_task,,metadata_only
02e6ada6-c495-45a5-a597-f3dd42174827,Topcoder Identity Service: tests implementation,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,skipped_non_coding_task,,metadata_only
03c12726-323e-4e70-9dce-d26989f2c2c4,Pega LSA Lead System Architect  Remote US OR Brazil Time Zone,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,skipped_non_coding_task,,metadata_only
048a71c6-7564-4b4d-9f29-2aa3e43fecfe,Topcoder O/R F2F - Winners are showing wrong in OR compared to the challenge details,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,skipped_non_coding_task,,metadata_only
051e70ad-a32b-40fc-86c8-fe55b67fd611,72 Hours Topcoder Review App Challenge Review Edit Page Integration,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,failed_tests,synthesized,partial_synthesized_tests
06525af6-cea6-40f0-9d8a-95c750cd9f45,Topcoder Identity Service: fix authentication issue,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,skipped_non_coding_task,,metadata_only
08f5d5b4-7f6a-46d0-a5cf-4f5bb78b7cb1,Cognitive Audio Challenge Gamma Theta Frequency Infusion,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,failed_tests,synthesized,partial_synthesized_tests
0ab3daf4-5ea4-4210-a224-7739ff23bfb5,Topcoder Rating Processor - Integrated with existing schema,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,skipped_non_coding_task,,metadata_only
0ac19268-4459-46e0-8285-916072ccae0e,[72HR] Topcoder Admin App - Add Non-MM Submission Management,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,skipped_non_coding_task,,metadata_only
0c406e64-e1db-422b-ac9a-cdcf7523320f,Topcoder Admin App - Consolidate Skills Manager,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,skipped_non_coding_task,,metadata_only
0c490c53-e00c-41d0-a9c6-dd0ac701395e,Topcoder NestJS Autopilot  Phase Transition Logic Optimization,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,skipped_non_coding_task,,metadata_only
0c9d344e-6452-4d0c-a474-34d203f04f6c,Topcoder Community App - Support LaTex formulas in Markdown rendering,challenge_data_challengeData_2023-01-01_2023-01-02_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-02/page1.json,skipped_non_coding_task,,metadata_only
0d1aa466-da5c-4b48-b6cf-a8059cf35d6b,Topcoder O/R F2F - UI issue in the Submit response button (Data science),challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page2.json,skipped_non_coding_task,,metadata_only
0f4b0303-8153-40d0-912a-77202ed0326b,MS Teams AI Agent Tab App with MCP Gateway Integration,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page3.json,failed_tests,synthesized,partial_synthesized_tests
