task_id,dataset_id,dataset_path,title,task_type,resolved_task_type,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,router_rationale,router_heuristics,solver_used,solver_name,verifier_type,verifier_name,verifier_score,used_synthesized_tests,self_check_only,self_check_pass_rate,self_check_passed,memory_hint_count,memory_hints_retrieved,artifact_path,unit_test_report_path,deliverable_path,patch_path,repo_log_path,rubric_path,classification_path,verification_path,reflections_path,raw_agent_response_path,repaired_agent_response_path,failure_signature,failing_tests,last_error,llm_calls_used,timed_out,timeout_reason,unit_test_success,deliverable_success
0d1aa466-da5c-4b48-b6cf-a8059cf35d6b,challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page2.json,Topcoder O/R F2F - UI issue in the Submit response button (Data science),architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:56:23.435813,2026-03-05T12:56:45.613484,22.177671,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/0d1aa466-da5c-4b48-b6cf-a8059cf35d6b_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/0d1aa466-da5c-4b48-b6cf-a8059cf35d6b_agent_repair.txt,,,,2.0,False,,False,False
c90790bd-d289-42b7-bd97-4bc65d7232f5,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,Topcoder Community App - Remove the support modal,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:56:45.617833,2026-03-05T12:57:07.213355,21.595522,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/c90790bd-d289-42b7-bd97-4bc65d7232f5_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/c90790bd-d289-42b7-bd97-4bc65d7232f5_agent_repair.txt,,,,2.0,False,,False,False
8da51ea0-9169-4684-b536-79dc92e6380c,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,72 Hours Topcoder Review App Challenge Review Details Page Integration Part 2,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:57:07.214040,2026-03-05T12:57:27.695376,20.481336,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/8da51ea0-9169-4684-b536-79dc92e6380c_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/8da51ea0-9169-4684-b536-79dc92e6380c_agent_repair.txt,,,,2.0,False,,False,False
61a28e31-f4fa-4302-b565-a104fd833dd0,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,TopCoder Lookups API- Fix Review Issues,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:57:27.695749,2026-03-05T12:57:58.005340,30.309591,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/61a28e31-f4fa-4302-b565-a104fd833dd0_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/61a28e31-f4fa-4302-b565-a104fd833dd0_agent_repair.txt,,,,2.0,False,,False,False
4320dc50-af78-47d8-bdbf-f6864302174b,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Topcoder NestJS Autopilot - Event-Based Phase Transition Fixes,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:57:58.005928,2026-03-05T12:58:17.051523,19.045595,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/4320dc50-af78-47d8-bdbf-f6864302174b_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/4320dc50-af78-47d8-bdbf-f6864302174b_agent_repair.txt,,,,2.0,False,,False,False
755e5e35-17a1-4a26-9a07-ac733f612954,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,Topcoder Online Review - Manual payments not saving,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:58:17.051826,2026-03-05T12:58:39.169073,22.117247,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/755e5e35-17a1-4a26-9a07-ac733f612954_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/755e5e35-17a1-4a26-9a07-ac733f612954_agent_repair.txt,,,,2.0,False,,False,False
f9403b29-37cc-47a3-bda0-80d4e592f5c5,challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page2.json,ePost RX Modernisation - Fix all failed test case and improve the coverage Part 2,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:58:39.169642,2026-03-05T12:59:00.355913,21.186271,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/f9403b29-37cc-47a3-bda0-80d4e592f5c5_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/f9403b29-37cc-47a3-bda0-80d4e592f5c5_agent_repair.txt,,,,2.0,False,,False,False
mixed_matrix_stress,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Matrix Trace (stress),architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:59:00.356378,2026-03-05T12:59:20.026384,19.670006,True,provided,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/mixed_matrix_stress_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/mixed_matrix_stress_agent_repair.txt,,,,2.0,False,,False,False
2362226c-ab72-4c46-819a-37d09f9fbf16,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,Topcoder Work Manager - Fix submission phase display on 2 round challenge,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:59:20.026807,2026-03-05T12:59:39.996698,19.969891,False,n/a,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/2362226c-ab72-4c46-819a-37d09f9fbf16_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/2362226c-ab72-4c46-819a-37d09f9fbf16_agent_repair.txt,,,,2.0,False,,False,False
355a5497-71c3-4e3a-b200-f53d62564667,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Learn AI – Build and Deploy an AI Agent with Topcoder MCP on Hugging Face,architecture_doc,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-03-05T12:59:39.997297,2026-03-05T13:00:02.525366,22.528069,True,statement,,Forced via CLI override,forced:architecture_doc,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/arch_template_arch_only,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/355a5497-71c3-4e3a-b200-f53d62564667_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/arch_template_arch_only/deliverables/355a5497-71c3-4e3a-b200-f53d62564667_agent_repair.txt,,,,2.0,False,,False,False
