task_id,dataset_id,dataset_path,title,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,used_synthesized_tests,artifact_path,failure_signature,failing_tests,last_error
c4a49444-109e-41d5-b83a-ef23c8c46800,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,ABB RCS Angular Prototype - Harmonised Data Tooling,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,1.0,2026-02-23T15:00:09.456419,2026-02-23T15:00:09.461926,0.005507,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
b18487fb-e080-4220-bc97-0e535c7d3bd1,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Introduce Templates for Special Config Data processing to the Google Spreadsheet Connector Tool for Salesforce,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,1.0,2026-02-23T15:00:09.661505,2026-02-23T15:00:09.675832,0.014327,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
1046b416-9c4a-434d-ab1f-3fd00c601acc,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,Quartz Energy - Offset Operator Frac Schedule REST API Code Challenge,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,2.0,2026-02-23T15:00:09.865954,2026-02-23T15:00:09.873340,0.007386,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
d1b626af-ade0-43fa-94a3-a54031608f29,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,Bonus Provided!!! - Kafka Queue Parser,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,1.0,2026-02-23T15:00:10.070832,2026-02-23T15:00:10.087528,0.016696,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
74ae7cb2-852f-4b3e-8372-d0b24f9e9d3c,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,Project Gwalldata - Python Utility GUI,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,0.0,2026-02-23T15:00:10.275897,2026-02-23T15:00:10.289956,0.014059,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
d70735a7-ec17-48f8-a8a0-59d8dd300f5b,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,72Hrs - Novus Component Modularization Challenge Part2,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,3.0,2026-02-23T15:00:10.480940,2026-02-23T15:00:10.497636,0.016696,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
f7f8b255-8403-4cd9-b2f1-20f3c2c00e83,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Dragonet - Worksheet Angular UI Prototype Challenge,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,2.0,2026-02-23T15:00:10.685992,2026-02-23T15:00:10.701049,0.015057,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
a29ef147-15c4-4e2c-9afc-737403db74eb,analysis_output_legacy_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output_legacy/ai_feasibility_analysis.csv,TC Website - Local Deployment Documentation,timeout,timeout,0.0,False,10.0,multi_view,contract_first->pattern_skeleton->failure_mode_first->multi_view,1.0,2026-02-23T15:00:10.891044,2026-02-23T15:00:10.903632,0.012588,True,statement,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,
2cdb240c-2417-4cd8-b257-c35e96ce017b,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,John Hancock - Project Snapshot Multiple Updates UI Prototype Challenge,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T15:00:11.096083,2026-02-23T15:00:11.101166,0.005083,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,,,
e9b8dc6b-050b-440b-81fe-c24ea34019a8,analysis_output_legacy_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output_legacy/ai_feasibility_analysis.csv,Hercules React Native to XRE - Finish Layout support,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T15:00:11.297034,2026-02-23T15:00:11.299569,0.002535,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo,,,
