task_id,dataset_id,status,error_type,failure_signature,failing_tests,last_error,artifact_path,tests_source
5a953c7c-482a-4643-aad1-f7a093da7fb9,data_raw_tasks.csv,failed_tests,failed_tests,c8c21d4886568b9f3478af7201e29aea01373174229e6d240a3b6b3aa4678449,check_edge_case_large_text_input,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
7db8d519-d5c9-48b6-8c1d-d8430f7f09ee,data_raw_tasks.csv,failed_tests,failed_tests,743c7b88f22b5d46ba34b8d9313cb68a9d532bc0935d93111c268e7d604e2d14,"test_user_login_success,test_user_login_failure,test_asset_upload_success,test_asset_upload_invalid_file_type,test_content_moderation_nsfw_check",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
4fea455b-76f7-4e66-80a6-98b667d98670,data_processed_tasks.csv,failed_tests,failed_tests,5ea3a5e70fed2244ad2e2ebadc5d1e68c4de8c8a987870293f9131a811f173b1,"valid_download_after_submission,invalid_download_without_submission,multiple_submissions,download_from_different_challenge,edge_case_no_submissions",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
29f79b9f-32ef-43e5-8298-1028dfbf1136,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,failed_tests,failed_tests,44d264f74d50afc409d124afc69dca7097ffd0f3bb1dca299e2061bd706212f9,"createRole_validInput,createRole_missingName,getUser_validUserId,getUser_invalidUserId,updateUser_validData",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
graph_degree_test,experiments_decomposition_benchmark_tasks.json,failed_tests,failed_tests,28bb4b22b791d684c93165572bd028c9665c7812af1096de8f618191ff494d2e,"sample_0,sample_1",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,provided
5f695f88-8075-4e83-8727-100bf12c516e,data_raw_tasks.csv,failed_tests,failed_tests,a72c407f11c60fcefb3bc7614abc2181f94310e1582c7fe1f74ede04b0cf5a31,"valid_login_response,invalid_login_response,role_lookup_valid_user,role_lookup_nonexistent_user,login_with_empty_credentials",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
ac7837cd-349d-4a6a-aa97-82f1d19ad557,data_processed_tasks.parquet,failed_tests,failed_tests,425aff4674ab90f98fa81b48205357fe77e05674ccd93dc3b8100d28f8af552d,"merge_branch_and_resolve_conflicts,apply_resources_api_patch,fix_dependency_warning,fix_lint_errors,maintain_kafka_consumer",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
e8231040-e63f-40c4-980c-eb815062aeec,data_processed_tasks.parquet,failed_tests,failed_tests,ee58ef494a1ac2f3ea0368fa0cdf39dbb6d55dc805f2fa8be058d1c77f606804,"logged_out_user_display,logged_in_user_display,session_timeout,multiple_logins,refresh_page_logged_out",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
5bdc4e5f-4ea0-402e-ab20-f6cfd1a49a72,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,failed_tests,failed_tests,15be3393585aad43b86f1ffa935b855afaa82232744246b7e98baa6ffa0e8b40,"remove_view_link,remove_line_separator,no_change_to_other_elements,empty_paid_column,multiple_paid_columns",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
0c406e64-e1db-422b-ac9a-cdcf7523320f,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_tests,failed_tests,ae5ae711ca5bebfb7aa409f96a17c4d6fe3e34ca84032780a9c6eeb0ebc5fd20,"add_platform_tab,skills_link_functionality,roles_required_removal,config_cleanup_prod,config_cleanup_dev",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo,synthesized
